electricity_unit,electricity_value,country,type,state,estimated_at,carbon_g,carbon_lb,carbon_kg,carbon_mt
kwh,1.0,gb,electricity,,2024-03-07T12:46:53.185Z,209,0.46,0.21,0.0
mwh,1.0,gb,electricity,,2024-03-07T12:46:53.842Z,209000,460.77,209.0,0.21
kwh,1.0,se,electricity,,2024-03-07T12:46:54.407Z,13,0.03,0.01,0.0
mwh,1.0,se,electricity,,2024-03-07T12:46:54.995Z,13000,28.66,13.0,0.01
kwh,1.0,si,electricity,,2024-03-07T12:46:55.503Z,219,0.48,0.22,0.0
mwh,1.0,si,electricity,,2024-03-07T12:46:56.104Z,219000,482.81,219.0,0.22
