trees_required_in_units,image
1,https://github.com/chingu-voyages/v47-tier3-team-30/assets/122839298/09db776b-a27f-4e0c-9f90-b06e7891b20a
2,https://github.com/chingu-voyages/v47-tier3-team-30/assets/122839298/a8683123-4849-4a14-bcd3-ace6d860b0f4
3,https://github.com/chingu-voyages/v47-tier3-team-30/assets/122839298/ba98c24c-8f4c-46a2-911e-54bb3a427d25
4,https://github.com/chingu-voyages/v47-tier3-team-30/assets/122839298/386f12b5-541f-4ac3-b2d7-2d76175d4ff6
